"V1","V2","V3"
"9ArrD 316 Git1GFPA_003","9ArrD 316 Git1GFPA_004","9ArrD 316 Git1GFPA_005"
"2.675758","2.108302","2.772322"
"2.483256","2.918592","2.420126"
"2.490454","2.725619","2.585482"
"2.464895","3.106683","2.547287"
"3.337998","2.442982","1.541279"
"2.590052","2.276865","2.574906"
"2.701214","2.087509","2.436443"
"2.641496","1.764449","2.492486"
"2.624925","1.581802","2.027451"
"1.832779","2.354009","2.360836"
"2.515549","3.062446","2.156744"
"2.338096","1.814356","1.980150"
"1.786226","3.530437","2.352073"
"1.521802","2.610051","2.515304"
"2.219881",,"1.859426"
"3.138673",,"1.899682"
"2.283458",,"2.419242"
"3.039175",,"2.216466"
"1.941154",,"2.396891"
"2.501787",,"2.311045"
"2.502317",,"2.067876"
"2.588919",,"2.203773"
"2.591507",,"2.724961"
,"1.379533","1.820293"
,"0.9617869","2.8616537"
,"2.876344","2.588097"
,"3.025342","2.193904"
,"2.718825","2.237394"
,"3.257109","2.721938"
,"2.043032","1.911722"
,"1.743157","2.432416"
,"2.235768","2.508290"
,"2.182889","2.883822"
,"2.332113","2.442462"
,"1.679810","2.147401"
,"2.912111","2.381976"
,"1.846100","2.371278"
,"1.846895","3.040442"
"2.828107","2.947450",
"2.880123","2.032309",
"2.296820","2.954715",
"2.611516","1.610171",
"2.328870","2.125657",
"2.313709","2.606211",
"2.604721","1.225525",
"2.530569","2.092645",
"2.861072",,
"3.023309",,
"0.8667242",,
"2.344949",,
"3.29286",,
,"2.410583",
,"2.068822",
,"1.997375",
,"2.051332",
,"3.008163",
,,"2.8814"
,,"2.38079"
,,"2.521292"
,,"2.50507"
,,"1.998245"
,,"2.141551"
,,"2.042157"
,,"2.267256"
,,"3.927986"
,,"2.084505"
,,"1.556085"
,,"2.37095"
,,"1.863467"
,,"2.634833"
,,"1.837617"
,,"2.885362"
